지점번호,지점명,일시,평균기온(℃),평균습도(%rh)
20264,천안,2021-09-16,21.2,71.4
20264,천안,2021-09-17,19.1,93.3
20264,천안,2021-09-18,19.9,82.1
20264,천안,2021-09-19,21.1,79.5
20264,천안,2021-09-20,21.8,74.4
20264,천안,2021-09-21,21.9,89.8
20264,천안,2021-09-22,20.3,85.5
20264,천안,2021-09-23,19,80
20264,천안,2021-09-24,19.3,80.1
20264,천안,2021-09-25,19.7,83.1
20264,천안,2021-09-26,20.5,79.5
20264,천안,2021-09-27,20.5,78
20264,천안,2021-09-28,20.6,85.3
20264,천안,2021-09-29,20.2,98.6
20264,천안,2021-09-30,20.2,85.6
20338,춘천,2021-09-01,20.8,82.5
20338,춘천,2021-09-02,23.1,70.6
20338,춘천,2021-09-03,22.8,65.6
20338,춘천,2021-09-04,20.7,67.3
20338,춘천,2021-09-05,21.2,69.1
20338,춘천,2021-09-06,21.9,69.5
20338,춘천,2021-09-07,19,97
20338,춘천,2021-09-08,22.6,79
20338,춘천,2021-09-09,21.7,81.6
20338,춘천,2021-09-10,22,82.3
20338,춘천,2021-09-11,22.2,80.5
20338,춘천,2021-09-12,22.6,75.3
20338,춘천,2021-09-13,23,77.9
20338,춘천,2021-09-14,23.2,66.9
20338,춘천,2021-09-15,21.2,68.5
20338,춘천,2021-09-16,21.5,69.6
20338,춘천,2021-09-17,21.9,67.9
20338,춘천,2021-09-18,22.6,71.3
20338,춘천,2021-09-19,21.4,73.8
20338,춘천,2021-09-20,22.1,69.3
20338,춘천,2021-09-21,21.4,85.5
20338,춘천,2021-09-22,20.2,77
20338,춘천,2021-09-23,20,72.1
20338,춘천,2021-09-24,20.7,75
20338,춘천,2021-09-25,19.4,81.8
20338,춘천,2021-09-26,20.7,69.5
20338,춘천,2021-09-27,19.5,78.6
20338,춘천,2021-09-28,21,78.5
20338,춘천,2021-09-29,19.6,95.1
20338,춘천,2021-09-30,19.5,85.4
20279,충주,2021-09-01,20.8,89.5
20279,충주,2021-09-02,21.8,78.6
20279,충주,2021-09-03,22.4,72.6
20279,충주,2021-09-04,21.7,66.3
20279,충주,2021-09-05,21.3,69.1
20279,충주,2021-09-06,21.1,72.3
20279,충주,2021-09-07,20.1,92.1
20279,충주,2021-09-08,21,89
20279,충주,2021-09-09,21.3,85.4
20279,충주,2021-09-10,22.8,80.1
20279,충주,2021-09-11,23,80.6
20279,충주,2021-09-12,22.8,80.4
20279,충주,2021-09-13,23.4,68.5
20279,충주,2021-09-14,20.7,69.8
20279,충주,2021-09-15,20.9,66.8
20279,충주,2021-09-16,20.6,72
20279,충주,2021-09-17,18.5,85.5
20279,충주,2021-09-18,19.8,83.1
20279,충주,2021-09-19,21.1,74.3
20279,충주,2021-09-20,22,70
20279,충주,2021-09-21,22.1,81.6
20279,충주,2021-09-22,20.5,77.4
20279,충주,2021-09-23,19.3,76.5
20279,충주,2021-09-24,19.2,78
20279,충주,2021-09-25,19.1,82.4
20279,충주,2021-09-26,20.1,74.8
20279,충주,2021-09-27,20,76.1
20279,충주,2021-09-28,20.9,77
20279,충주,2021-09-29,20.1,94.6
20279,충주,2021-09-30,20.8,83.5
